Category,Count
,228912
Fire engines,20
Early developments,5
Power devices,3
Padding & tableting,4
Typesetting,364
Measurement,720
Medical equipment,1040
Electricity &electronics,3
Hunting & trapping,2
Automotive parts,283
Telephony,876
Animal powered,329
Lighting device parts,127
Laboratory equipment,503
Maintenance equipment,79
Stitching,4
Poultry equipment,107
Regulation & transformation,92
"Example of type of protective glove worn by operators of x-ray eq. lead lined gloves, aprons & face shields were some of the earliest & simplest protective devices used: screening stands and couches, and lead glass viewing windows were also employed. the effect of x-rays on both operators and patients was not well understood for many years, but by 1928 minimum lead values for gloves, etc. had been established.",1
Material storage,89
Child care,18
Cine camera parts,34
Textile working,276
Vacuum tube accessories,113
Marbling-edging,5
Atomic &nuclear,7
Digital computing devices,553
Observation equipment,285
Still cameras,1284
Test-measurement equipment,364
Accessories,123
Vacuum tube parts,13
Food processing,974
Generation,251
Dentistry,551
Ruling,26
Bundling,1
Acoustics,63
Fire fighting,275
Tools-Machine,220
Clothing & personal safety apparatus,20
Commemorative,4332
Industrial,18
Tooling,121
Instrument testing equipment,5
Mineral exploration,148
Airport operations,133
Still camera parts,356
Folding,5
Plumbing,19
Cine images,471
Still camera accessories,814
Sunshine intensity & duration measurement,29
Rolling stock,40
Environment control,203
Exterior work,34
Cine miscellaneous,6
Surface wind speed & direction measurement,95
Clothing,2058
Hovercraft vehicles,2
Toilet article,318
Rounding & backing,5
Tools-Hand,1921
Military,7
Sewing,14
Transmitting,248
Cloud height & motion measurement,13
Advertising,51
Photoemissive,47
Aircraft instruments,679
Personal gear,153
Mineral extraction,11
Diving,34
Specific gravity/density,28
Sound,1379
Visual,11
Atmospheric humidity measurement,70
Lighting accessories,15
Animal husbandry,161
Transportation,123
Combination instruments,13
Barns & buildings,164
Telegraphy,766
Lifting & flying apparatus,21
Cultivation,270
Research,1446
Petrochemical exploration,24
Land improvement,127
Earth observation,23
http://source.techno-science.ca/artifacts-artefacts/images/1983.0593.001.aa.cs.png,1
Laundry,418
Tools & equipment,23
Cine camera accessories,116
Silviculture,125
Extinguishers,59
Petrochemical extraction,16
Laboratory chemicals,63
Alarms,20
Crop handling,230
Electronics,196
Veterinary medicine,58
Dairying,719
"Precipitation amount, rate &duration measurement",1
Industrial vehicles,4
Cycles& cycling,3
Analog computing devices,78
Merchandising,1302
Demonstration & teaching equipment,476
Paging & numbering,2
Drawing & measuring instruments,534
Cine processing,17
Specialised,29
Vessel parts,129
Office equipment,80
Transmission & distribution,53
Servicing,374
Apiculture,174
Protective equipment,1
Loose-leaf binding,1
Crop protection,28
Lumbering,74
Navigation instruments &equipment,1
Sand glasses,7
Feeding,1
Image carriers,1273
Duplication,74
Human powered,47
1925,1
Aircraft parts,494
Navigation instruments & equipment,932
Automotive engineering,215
Accessory equipment,87
Miscellaneous,4739
Communications,444
Atmospheric temperature measurement,233
Motorcycle parts,21
Make-up,115
Landmarks,92
Inking,19
Evaporation amount measurement,22
Services,1432
Tools &equipment-trades,3
Image transfer,133
Patient care & aids for the disabled,208
Computer,7
Light &electromagnetic radiation,1
Chronometers,9
Safety equipment,5
Memorabilia,13
Traffic control,3
Timing devices,23
Calendars,23
Observing aids,16
Length,308
Pharmacology,70
Instruments,1061
Still images,737
Temperature,39
Precision tools,38
Hovercraft parts,1
Receiving,1139
Expedition artifacts,63
Public transportation,49
Perforating,14
Etching/engraving,14
Models,946
Studio & set equipment,88
Pneumatics & air pressure,43
Lighting devices,429
User site,680
Space science,150
Electricity,157
Chemicals & medications,319
Conversion,240
Digital peripheral devices,943
Thermal & thermal conductivity,38
Insulators,457
Development & maintenance equipment,168
Typecasting,32
Drying,2
Biochemistry,8
Casemaking,2
Music,340
Measurement-angles,144
Hydrostatics & fluid mechanics,97
Cycles & cycling,1493
Furniture,9
Cine cameras,338
Packaging,1
Calculating devices,275
Motorcycle engineering,21
Crop processing,104
Mass/weight,385
Telephone,99
Crop development,1
"Upper air pressure, temperature & humidity measurement",115
Archives,4024
Experimental,23
Geophysics,396
Cycles &cycling,25
Upper wind speed & direction measurement,55
Electromechanical & mechanical computing devices,12
Sundials,3
Moving equipment,1
Operations,368
Survey equipment,248
Candles,3
Miscellaneous equipment,18
Measurement-direction,94
Motive power,646
Food service,324
Regulation &transformation,3
Vessels,70
Aircraft,237
Upper wind speed &direction measurement,1
Lettering,91
Lock up/imposition,27
Automotive vehicles,110
Watches,51
Power sources,499
Test equipment,22
Radio,1907
Horticulture,78
Atmospheric pressure measurement,143
Long range forecasting equipment,42
Measurement-position,47
Industrial equipment,629
Platemaking,114
Adhesive binding,2
Electromechanical & mechanical peripheral devices,23
Photogrammetry,324
Housekeeping,109
Manned spacecraft,209
Finishing general,14
Civil engineering,40
Boat & shipbuilding tools & equipment,133
Mechanics,8
Magnetism,29
Television,802
Casing-in,10
Chemicals &medications,2
Cutting,18
Light & electromagnetic radiation,843
Measurement-distance,152
Tools & equipment-trades,1454
Recreational vehicles,20
Service-test equipment,273
Tool maintenance,127
Lamps-lanterns,3
Still processing,521
Hydrography/oceanography,6
Analog peripheral devices,2
Motorcycle vehicles,74
Printed specimens,4355
Aviation armament,164
Printing vehicles,3
Atomic & nuclear,547
Ephemera,9
Naval architecture,34
Volume,93
Radiology,380
Radar,269
Lamp bulbs,1098
Cottage industries,98
"Precipitation amount, rate & duration measurement",81
Clocks,245
Harvesting,594
Tool storage,38
Electricity & electronics,274
Surface wind speed &direction measurement,1
